sales_Sl. No,sales_Invoice Number,sales_Invoice Date,sales_Customer Name,GST Number,sales_Net Amount,sales_Tax Type CGST,sales_Tax Amount CGST,sales_Tax Type SGST,sales_Tax Amount SGST,sales_Tax Type IGST,sales_Tax Amount IGST,sales_Grand Amount,Purchase Invoice Number,Purchase Invoice Date,Purchase Customer Name,TIN Number,Purchase Net Amount,Purchase Tax Type CGST,Purchase Tax Amount CGST,Purchase Tax Type SGST,Purchase Tax Amount SGST,Purchase Tax Type IGST,Purchase Tax Amount IGST,Purchase Grand Amount
96,1,06-04-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,275,01-10-2024,Thanusha Enterprises,29CHMPK0290E1ZI,"19,100.00",CGST@9%,"1,719.00",SGST@9%,"1,719.00",,,"22,538.00"
97,2,06-04-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,30242,03-10-2024,PADMAVATHI HARDWARE,29AJBPG2536P1ZX,194,CGST@9%,17.46,SGST@9%,17.46,,,229
98,3,06-04-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,87000,CGST@9%,7830,SGST@9%,7830,,,102660,30517,25-10-2024,PADMAVATHI HARDWARE,29AJBPG2536P1ZX,194,CGST@9%,17.46,SGST@9%,17.46,,,229
99,4,08-04-2024,M/S MAWALEWARI ENGINEERING,20ATNPK3858L1ZC,54000,CGST@9%,4860,SGST@9%,4860,,,63720,524,08-11-2024,VIMAL INDUSTRIES,2929AKHPK8857E1ZO,"3,27,800.00",CGST@9%,"29,502.00",SGST@9%,"29,502.00",,,"3,86,804.00"
100,5,08-04-2024,M/s SKB Automation,29BERPK0195J1ZW,19000,CGST@9%,1710,SGST@9%,1710,,,22420,33,11-11-2024,"H.R,ENTERPRISES",29DCFPM8766P2ZE,"28,500.00",CGST@9%,"2,565.00",SGST@9%,"2,565.00",,,"33,630.00"
101,6,10-04-2024,M/s RHS Cranes & Components,29AAVFR6748P2ZR,30550,CGST@9%,2749.5,SGST@9%,2749.5,,,36049,2425-2085,11-11-2024,KHS ENGINEERING TECHNOLOGIES,29470091273,"3,978.00",CGST@9%,358.02,SGST@9%,358.02,,,"4,694.00"
102,7,18-04-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,42292,CGST@9%,3806.28,SGST@9%,3806.28,,,49905,280,23-11-2024,SUMUKHA ENGINEERS,29030107908,"14,000.00",CGST@9%,"1,260.00",SGST@9%,"1,260.00",,,"16,520.00"
103,8,18-04-2024,S.V.MATERIAL HANDLING SYSTEM PVT LTD,29AAKCS6443A1ZB,31500,CGST@9%,2835,SGST@9%,2835,,,37170,2679,27-11-2024,sukhalaya enterprises,29AANFS0412K1Z0,859,CGST@9%,77.31,SGST@9%,77.31,,,"1,014.00"
104,9,18-04-2024,M/s Mohinder Agencies,29AABFM4837A1ZI,295000,CGST@9%,26550,SGST@9%,26550,,,348100,1412,02-12-2024,A.S. BEARING STORE,29160579499,"11,220.00",CGST@9%,"1,009.80",SGST@9%,"1,009.80",,,"13,240.00"
105,10,20-04-2024,M/s Mohinder Agencies,29AABFM4837A1ZI,276500,CGST@9%,24885,SGST@9%,24885,,,326270,104,05-12-2024,S V ENGINEERING,29ALNPP1396G1ZJ,"22,947.00",CGST@9%,"2,065.23",SGST@9%,"2,065.23",,,"27,077.00"
106,11,24-04-2024,M/s Mohinder Agencies,29AABFM4837A1ZI,153500,CGST@9%,13815,SGST@9%,13815,,,181130,1911,05-12-2024,LASA ENGINEERS PVT LTD,29AAACL2878G1Z9,"30,100.00",CGST@9%,"2,709.00",SGST@9%,"2,709.00",,,"35,518.00"
107,12,26-04-2024,M/s Mohinder Agencies,29AABFM4837A1ZI,600000,CGST@6%,36000,SGST@6%,36000,,,672000,1131,06-12-2024,COUPCO ENGINEERS,19AKSPB8312N1ZM,"60,000.00",,,,,IGST@18%,"10,800.00","70,800.00"
108,13,29-04-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,527,07-12-2024,VIMAL INDUSTRIES,2929AKHPK8857E1ZO,"14,600.00",CGST@9%,"1,314.00",SGST@9%,"1,314.00",,,"17,228.00"
109,14,29-04-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,2307,07-12-2024,KHS ENGINEERING TECHNOLOGIES,29470091273,"6,228.00",CGST@9%,560.52,SGST@9%,560.52,,,"7,349.00"
110,15,15-05-2024,M/s SKB Automation,29BERPK0195J1ZW,14250,CGST@9%,1282.5,SGST@9%,1282.5,,,16815,417,09-12-2024,Sri Vinayaka Industries,29AAOPN9277E1ZZ,"33,750.00",CGST@9%,"3,037.50",SGST@9%,"3,037.50",,,"39,825.00"
111,16,22-05-2024,M/s Cinda Engineering & contruction Pvt Ltd,33AADCC4413H1Z5,1850000,,,,,IGST@18%,333000,2183000,1062,09-12-2024,CRANE KIT,29AAQFC2592K1ZS,"6,632.00",CGST@9%,596.88,SGST@9%,596.88,,,"7,826.00"
112,17,24-05-2024,M/S STUMPP SCHUELE  SOMAPPA SPRINGS (P) LIMITED,29AALCS7347E1ZX,295000,CGST@9%,26550,SGST@9%,26550,,,348100,6767,09-12-2024,KRISHNA ELECTRICAL INDUSTRIES,29ABFPC0995E1ZQ,"35,502.00",CGST@9%,"3,195.18",SGST@9%,"3,195.18",,,"41,892.00"
113,18,24-05-2024,M/S STUMPP SCHUELE  SOMAPPA SPRINGS (P) LIMITED,29AALCS7347E1ZX,76500,CGST@9%,6885,SGST@9%,6885,,,90270,19927,09-12-2024,Industrial Hyraullics & Tools,29AFCPH8418Q1ZT,"7,370.00",CGST@9%,663.3,SGST@9%,663.3,,,"8,697.00"
114,19,29-05-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,6770,11-12-2024,KRISHNA ELECTRICAL INDUSTRIES,29ABFPC0995E1ZQ,"13,287.00",CGST@9%,"1,195.83",SGST@9%,"1,195.83",,,"15,679.00"
115,20,29-05-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,51124,11-12-2024,Galaxy Paints Hardware,AAKFG6133C1Z1,152,CGST@9%,13.68,SGST@9%,13.68,,,179
116,21,30-05-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,6775,13-12-2024,KRISHNA ELECTRICAL INDUSTRIES,29ABFPC0995E1ZQ,"15,524.00",CGST@9%,"1,397.16",SGST@9%,"1,397.16",,,"18,318.00"
117,22,03-06-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,15444,13-12-2024,pooja electricals & light house,29BLSPR8649J1ZU,"2,124.00",CGST@9%,191.16,SGST@9%,191.16,,,"2,506.00"
118,23,07-06-2024,M/S STUMPP SCHUELE  SOMAPPA SPRINGS (P) LIMITED,29AALCS7347E1ZX,250000,CGST@9%,22500,SGST@9%,22500,,,295000,1775,20-12-2024,A L Colours & Coats,29ABBFA2410J1ZS,"6,090.00",CGST@9%,548.1,SGST@9%,548.1,,,"7,186.00"
119,24,07-06-2024,M/S STUMPP SCHUELE  SOMAPPA SPRINGS (P) LIMITED,29AALCS7347E1ZX,95000,CGST@9%,8550,SGST@9%,8550,,,112100,441,25-12-2024,Sri Vinayaka Industries,29AAOPN9277E1ZZ,"6,750.00",CGST@9%,607.5,SGST@9%,607.5,,,"7,965.00"
120,25,07-06-2024,M/S STUMPP SCHUELE  SOMAPPA SPRINGS (P) LIMITED,29AALCS7347E1ZX,185000,CGST@9%,16650,SGST@9%,16650,,,218300,64212,02-02-2025,Galaxy Paints Hardware,AAKFG6133C1Z1,110,CGST@9%,9.9,SGST@9%,9.9,,,130
121,26,18-06-2024,M/S HITECH MATERIAL MOVEMENTS,29AOYPP4140C1ZM,12400,CGST@9%,1116,SGST@9%,1116,,,14632,1066,12-02-2025,Galaxy Paints Hardware,AAKFG6133C1Z1,904,CGST@9%,81.36,SGST@9%,81.36,,,"1,067.00"
122,27,25-06-2024,M/S SRI MALAI STONES,29ACEFS5270L1ZL,18000,CGST@9%,1620,SGST@9%,1620,,,21240,63582,12-02-2025,Galaxy Paints Hardware,AAKFG6133C1Z1,135,CGST@9%,12.15,SGST@9%,12.15,CGST,,159
123,28,28-06-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,64481,17-02-2025,Galaxy Paints Hardware,AAKFG6133C1Z1,80.84,CGST@9%,7.28,SGST@9%,7.28,,,95
124,29,28-06-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,31945,01-03-2025,PADMAVATHI HARDWARE,29AJBPG2536P1ZX,"1,152.00",CGST@9%,103.68,SGST@9%,103.68,,,"1,359.00"
125,30,28-06-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,31971,03-03-2025,PADMAVATHI HARDWARE,29AJBPG2536P1ZX,444,CGST@9%,39.96,SGST@9%,39.96,,,524
126,31,28-06-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,12400,CGST@9%,1116,SGST@9%,1116,,,14632,439,16-04-2025,jagadamba electricals & Lighting palace,29AFQPC1753F2ZE,381,CGST@9%,34.29,SGST@9%,34.29,,,450
127,32,28-06-2024,M/S STUMPP SCHUELE  SOMAPPA SPRINGS (P) LIMITED,29AALCS7347E1ZX,250000,CGST@9%,22500,SGST@9%,22500,,,295000,25,15-05-2025,M/s Linkwell Engineers,,"9,43,500.00",CGST@9%,"84,915.00",SGST@9%,"84,915.00",,,"11,13,330.00"
128,33,01-07-2024,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,46338,CGST@9%,4170.42,SGST@9%,4170.42,,,54679,63,20-05-2025,SUMUKHA ENGINEERS,29030107908,"24,000.00",CGST@9%,"2,160.00",SGST@9%,"2,160.00",,,"28,320.00"
129,34,12-07-2024,M/s Mohinder Agencies,29AABFM4837A1ZI,42650,CGST@9%,3838.5,SGST@9%,3838.5,,,50327,786,25-05-2025,INDUSTRIAL GEARS CO,29AAFF18240K1Z0,"1,390.00",CGST@9%,125.1,SGST@9%,125.1,,,"1,640.00"
130,35,17-07-2024,M/s Ravi Traders,29BCGPH9609R1ZP,4500,CGST@9%,405,SGST@9%,405,,,5310,66,29-05-2025,MOOZUMDER & MOZUMDER,19792349098,"15,200.00",,,,,IGST@18%,"2,736.00","17,936.00"
131,36,18-07-2024,M/s Cinda Engineering & contruction Pvt Ltd,33AADCC4413H1Z5,100000,,,,,IGST@18%,18000,118000,1287,06-06-2025,FUEJRER ELECTRIC PVT LTD,29AADCF5018P1Z7,"1,500.00",CGST@9%,135,SGST@9%,135,,,"1,770.00"
132,37,20-07-2024,M/s Ostrich Projects & Services,33DBTPS1269A1ZJ,8000,CGST@9%,720,SGST@9%,720,,,9440,2685,18-06-2025,BATTERY CLUB,29ANCPR9529E1ZL,"6,250.00",CGST,875,SGST,875,,,"8,000.00"
